Sequence	Domain	Start	End
CHS1	TIR	30	122
CHS1	NB-ARC	186	406
CNL-11990	NB-ARC	152	375
CNL-11990	LRR	570	859
MLA37-1	CC	7	133
MLA37-1	NB-ARC	194	423
MLA37-1	LRR	533	863
Pid3-A4	CC	5	134
Pid3-A4	NB-ARC	184	421
Pid3-A4	LRR	534	877
Pm5e	NB-ARC	202	417
Pm5e	LRR	536	900
R3b	CC	11	144
R3b	NB-ARC	181	418
R3b	LRR	520	1244
Rpi-amr3-3408	CC	34	114
Rpi-amr3-3408	NB-ARC	154	381
Rpi-amr3-3408	LRR	575	845
Rpi-chc1.1	CC	55	174
Rpi-chc1.1	NB-ARC	213	453
Rpi-chc1.1	LRR	562	1280
RPP39	CC	33	128
RPP39	NB-ARC	157	398
RPP39	LRR	513	838
Sr13d	CC	12	135
Sr13d	NB-ARC	194	422
Sr13d	LRR	533	855
